,latitude,longitude,name
0,1.27458821795427,103.84347073660999,100 AM
1,1.30508681845447,103.905098915055,112 KATONG
2,1.3013851021471399,103.837684350436,313@SOMERSET
3,1.3120249182444,103.764960537008,321 CLEMENTI
4,1.33404171129957,103.850955458676,600 @ TOA PAYOH
5,1.4371305244487,103.795289911954,888 PLAZA
6,1.36922321403002,103.848467911464,AMK HUB
7,1.43988095490574,103.80179101959499,ADMIRALTY PLACE
8,1.2738426388845099,103.801375038176,ALEXANDRA RETAIL CENTRE
9,1.28893477974498,103.805607779399,ANCHORPOINT
10,1.3097424203235601,103.864101647509,APERIA
11,1.32612416875662,103.843709493566,BALESTIER HILL SHOPPING CENTRE
12,1.3424126418864297,103.776539385678,BEAUTY WORLD CENTRE
13,1.34178799847022,103.776304121109,BEAUTY WORLD PLAZA
14,1.3246689739690902,103.92940545649,BEDOK MALL
15,1.32480102552269,103.932384005117,BEDOK POINT
16,1.33183269839976,103.744879157153,BIG BOX
17,1.29819500487879,103.855655544739,BUGIS CUBE
18,1.3001178934309399,103.85619157165199,BUGIS JUNCTION
19,1.30075921013125,103.855204142122,BUGIS+
20,1.3799165066522399,103.76431706853501,BUKIT PANJANG PLAZA
21,1.2930633587734799,103.851293463737,CAPITOL PIAZZA
22,1.30149743442988,103.836444792111,CATHAY CINELEISURE ORCHARD
23,1.43608867729913,103.78600997367799,CAUSEWAY POINT
24,1.3523611314355002,103.94378481243099,CENTURY SQUARE
25,1.28412271103558,103.852544637414,CHANGE ALLEY
26,1.3563414213584501,103.989276642386,CHANGI AIRPORT
27,1.3340363790270802,103.96291761553101,CHANGI CITY POINT
28,1.28526073702918,103.844942912343,CHINATOWN POINT
29,1.3114774495223402,103.85678076298599,CITY SQUARE MALL
30,1.2923786067095901,103.85466296886801,CITYLINK MALL
31,1.3155535427795,103.76459643930401,CLEMENTI MALL
32,1.3920941559405202,103.89498002538299,COMPASS ONE
33,1.29270252655149,103.81097183537399,DAWSON PLACE
34,1.2808649386093,103.81014259576901,DEPOT HEIGHTS SHOPPING CENTRE
35,1.3260531991057098,103.929604640137,DJITSUN MALL
36,1.3777758420954298,103.95477359288999,DOWNTOWN EAST
37,1.29921662121833,103.857996795149,DUO
38,1.3316765687873,103.849383935394,ERA APAC CENTRE
39,1.3425864408894,103.95307233895399,EASTPOINT MALL
40,1.3778287661646598,103.942364336974,ELIAS MALL
41,1.28950956232932,103.855665761542,ESPLANADE MALL
42,1.3256176410229599,103.67841055156299,FAIRPRICE HUB
43,1.3840058246629598,103.771029603101,FAJAR SHOPPING CENTRE
44,1.30731112598869,103.833939963454,FAR EAST PLAZA
45,1.3963155184234,103.881167324822,FERNVALE POINT
46,1.3061252256071698,103.82867554961001,FORUM THE SHOPPING MALL
47,1.30145299324793,103.854495182879,FU LU SHOU COMPLEX
48,1.29133889451297,103.850146834511,FUNAN
